w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,a,w,w,r,w,w,m,m,w,m,m,w,m,m,r,m,m,w,w
w,w,w,w,w,w,w,m,w,w,w,w,w,r,f,w,w,m,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,r,w,w,f,r,w,w
w,w,w,w,w,w,w,w,w,b,w,w,w,r,f,g,w,r,w,w
w,w,w,w,w,w,w,m,w,w,w,w,w,r,w,w,f,m,w,w
w,w,w,r,w,w,w,m,w,w,f,w,w,r,r,r,r,m,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,m,w,w,w,w,w,r,r,r,r,m,w,w
w,w,w,w,w,w,w,m,w,w,f,w,w,r,w,w,w,m,w,w
w,w,w,w,w,w,w,w,w,b,w,w,w,r,w,t,w,r,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,r,f,w,f,r,w,w
w,r,w,w,w,w,w,m,w,w,w,w,w,r,w,w,w,m,w,w
w,w,w,w,r,w,w,m,m,w,m,m,w,m,m,r,m,m,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
