m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
m,w,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,w,m
m,w,w,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,w,w,m
m,w,f,w,m,m,m,m,m,m,m,m,w,w,w,w,w,w,r,w,f,w,w,w,w,w,m,m,m,m,w,w,w,w,w,w,w,w,w,m
m,w,w,w,m,m,m,m,m,m,m,m,w,w,w,w,w,w,r,w,w,f,w,w,f,w,w,m,m,w,w,w,w,w,w,w,r,w,w,m
m,w,w,w,m,m,m,m,m,m,m,w,w,b,w,w,w,w,m,m,w,w,w,g,w,w,w,m,m,w,w,w,w,w,w,w,w,w,w,m
m,f,w,w,m,m,m,m,m,m,m,w,w,w,w,f,w,m,m,m,w,f,w,w,w,w,w,r,w,w,w,r,w,w,w,w,w,w,w,m
m,w,w,w,m,m,m,m,m,m,m,w,w,w,w,w,w,m,m,m,w,w,f,w,f,w,w,r,w,w,w,w,w,w,w,w,w,w,w,m
m,w,w,w,m,m,m,m,m,m,m,w,w,w,w,w,m,m,m,m,m,w,w,w,w,w,m,m,m,w,w,w,w,w,w,r,w,w,w,m
m,w,w,w,m,m,m,m,m,m,m,w,w,w,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,w,w,w,w,w,w,w,w,w,w,m
m,w,f,w,m,m,m,m,m,m,m,w,w,w,m,m,m,m,m,m,m,m,m,w,w,w,w,m,m,w,w,w,w,f,w,w,w,w,w,m
m,w,w,w,w,m,m,m,m,m,m,w,w,m,m,m,m,m,m,m,m,w,w,w,w,w,f,w,m,w,w,w,w,w,w,w,f,w,w,m
m,w,w,w,w,m,m,m,m,m,m,w,w,m,m,m,m,m,m,m,m,w,w,w,w,w,w,w,m,w,w,w,w,w,w,w,w,w,w,m
m,w,w,w,w,m,m,m,m,m,m,w,w,m,m,m,m,m,m,m,m,w,w,w,m,w,w,w,m,w,w,w,w,w,w,w,w,w,w,m
m,w,w,w,w,m,m,m,m,m,m,w,w,m,m,m,m,m,m,m,m,w,w,w,m,m,w,w,m,w,f,w,w,w,w,w,w,w,w,m
m,w,w,w,w,m,m,m,m,m,m,w,w,m,m,m,m,m,m,m,m,w,w,w,m,m,w,w,m,w,w,w,w,w,w,w,w,w,w,m
m,w,g,w,w,m,m,m,w,w,w,w,w,m,m,m,m,m,m,m,w,w,w,w,m,m,w,w,m,w,w,w,w,w,w,w,w,w,w,m
m,w,w,w,w,r,w,w,w,w,w,w,w,m,m,m,m,m,m,w,w,w,w,w,m,m,w,w,m,w,w,w,w,w,w,w,w,w,w,m
m,w,w,w,w,r,w,w,w,w,w,w,w,m,m,m,m,m,m,w,w,w,w,w,m,m,w,w,m,w,w,w,w,w,w,w,w,w,w,m
m,w,a,w,w,r,w,w,m,m,w,w,m,m,m,m,m,m,w,w,w,w,w,w,m,m,w,w,m,w,w,w,w,w,w,w,w,w,w,m
m,w,w,w,w,w,m,m,m,m,w,w,m,m,m,m,w,w,w,w,w,w,w,w,m,w,w,w,m,w,w,w,w,w,w,w,w,w,w,m
m,w,w,w,w,w,m,m,m,m,w,w,w,w,w,w,w,w,w,w,w,w,w,w,m,w,w,w,m,w,w,w,w,w,w,w,w,w,w,m
m,w,g,w,w,w,m,m,m,m,w,w,w,w,w,w,w,w,w,w,w,w,w,w,m,w,w,m,m,w,w,w,m,w,w,w,w,w,w,m
m,w,w,w,w,w,m,m,m,m,m,w,w,w,w,w,w,w,w,w,w,w,w,m,m,w,w,m,m,w,w,w,m,m,w,w,w,w,w,m
m,w,w,w,w,m,m,m,m,m,m,m,m,m,m,m,w,w,w,w,w,w,w,m,m,w,w,m,m,w,w,m,m,m,w,w,w,w,w,m
m,w,w,w,w,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,w,w,w,m,m,w,w,m,m,w,w,m,m,w,w,w,w,w,w,m
m,w,w,w,w,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,w,w,w,m,m,w,w,m,m,w,w,m,m,w,w,w,w,w,w,m
m,w,w,w,w,w,m,m,m,m,m,m,m,m,m,m,m,m,m,m,w,w,w,m,m,w,w,m,m,w,w,w,m,w,w,w,w,w,w,m
m,w,f,w,w,w,m,m,m,m,m,m,m,m,m,m,m,m,m,m,w,w,w,w,m,w,w,w,m,w,w,w,m,w,w,w,w,w,w,m
